material_id,M_element,Ru_fraction,M_fraction,nominal_formula,slab_file,predicted_energy_eV,backend,status
MAT_001,Li,1.0,0.0,RuO2,data\substituted_slabs\MAT_001_110_slab.cif,-172.73371304965315,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,data\substituted_slabs\MAT_002_110_slab.cif,-312.529875100559,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,data\substituted_slabs\MAT_003_110_slab.cif,-294.5953792589747,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,data\substituted_slabs\MAT_004_110_slab.cif,-253.73064196959646,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,data\substituted_slabs\MAT_005_110_slab.cif,-231.16895959425023,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,data\substituted_slabs\MAT_007_110_slab.cif,-301.4032276767004,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,data\substituted_slabs\MAT_008_110_slab.cif,-277.8221047571996,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,data\substituted_slabs\MAT_009_110_slab.cif,-225.9650202909836,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,data\substituted_slabs\MAT_010_110_slab.cif,-198.02741418398486,uma-s-1p2,success
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,data\substituted_slabs\MAT_012_110_slab.cif,-321.43303768772745,uma-s-1p2,success
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,data\substituted_slabs\MAT_013_110_slab.cif,-308.15859706622746,uma-s-1p2,success
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,data\substituted_slabs\MAT_014_110_slab.cif,-277.85933533469625,uma-s-1p2,success
