material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site0_adsorbed.cif,-351.77190947301403,uma-s-1p2,success
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site1_adsorbed.cif,-351.44343315830815,uma-s-1p2,success
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site2_adsorbed.cif,-349.011133384541,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site0_adsorbed.cif,-356.00264225516565,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site1_adsorbed.cif,-356.03241509730253,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site2_adsorbed.cif,-354.92243987520703,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site0_adsorbed.cif,-367.71582539886344,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site1_adsorbed.cif,-367.5518271173239,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site2_adsorbed.cif,-365.92136704401594,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O,data\substituted_adsorbates\MAT_002_O_site0_adsorbed.cif,-627.8010977120931,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O,data\substituted_adsorbates\MAT_002_O_site1_adsorbed.cif,-631.3185129168262,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O,data\substituted_adsorbates\MAT_002_O_site2_adsorbed.cif,-630.7079691195092,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O2,data\substituted_adsorbates\MAT_002_O2_site0_adsorbed.cif,-634.7741098660537,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O2,data\substituted_adsorbates\MAT_002_O2_site1_adsorbed.cif,-635.5814540718916,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,O2,data\substituted_adsorbates\MAT_002_O2_site2_adsorbed.cif,-635.3768486668766,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site0_adsorbed.cif,-646.5406810874184,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site1_adsorbed.cif,-647.317336247146,uma-s-1p2,success
MAT_002,Ru0.80Li0.20Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site2_adsorbed.cif,-647.0290600196832,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O,data\substituted_adsorbates\MAT_003_O_site0_adsorbed.cif,-592.0865369692683,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O,data\substituted_adsorbates\MAT_003_O_site1_adsorbed.cif,-595.708808327959,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O,data\substituted_adsorbates\MAT_003_O_site2_adsorbed.cif,-594.9679257878238,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O2,data\substituted_adsorbates\MAT_003_O2_site0_adsorbed.cif,-598.9180781284326,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O2,data\substituted_adsorbates\MAT_003_O2_site1_adsorbed.cif,-599.8012904724192,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,O2,data\substituted_adsorbates\MAT_003_O2_site2_adsorbed.cif,-599.4045302802168,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site0_adsorbed.cif,-610.6097658815781,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site1_adsorbed.cif,-611.3992596878763,uma-s-1p2,success
MAT_003,Ru0.60Li0.40Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site2_adsorbed.cif,-610.8221262946902,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O,data\substituted_adsorbates\MAT_004_O_site0_adsorbed.cif,-510.39672037936367,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O,data\substituted_adsorbates\MAT_004_O_site1_adsorbed.cif,-510.3143400664451,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O,data\substituted_adsorbates\MAT_004_O_site2_adsorbed.cif,-512.8136907030846,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O2,data\substituted_adsorbates\MAT_004_O2_site0_adsorbed.cif,-517.2589190613025,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O2,data\substituted_adsorbates\MAT_004_O2_site1_adsorbed.cif,-517.2422292659519,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,O2,data\substituted_adsorbates\MAT_004_O2_site2_adsorbed.cif,-517.4570368458039,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site0_adsorbed.cif,-528.7387016412007,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site1_adsorbed.cif,-528.7185659410392,uma-s-1p2,success
MAT_004,Ru0.40Li0.60Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site2_adsorbed.cif,-528.7962676719781,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O,data\substituted_adsorbates\MAT_005_O_site0_adsorbed.cif,-465.1683553437526,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O,data\substituted_adsorbates\MAT_005_O_site1_adsorbed.cif,-465.11290664828437,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O,data\substituted_adsorbates\MAT_005_O_site2_adsorbed.cif,-465.23256309718727,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O2,data\substituted_adsorbates\MAT_005_O2_site0_adsorbed.cif,-472.18189680646753,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O2,data\substituted_adsorbates\MAT_005_O2_site1_adsorbed.cif,-472.17895442264364,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,O2,data\substituted_adsorbates\MAT_005_O2_site2_adsorbed.cif,-472.3310836445344,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,N2O,data\substituted_adsorbates\MAT_005_N2O_site0_adsorbed.cif,-483.5419245729564,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,N2O,data\substituted_adsorbates\MAT_005_N2O_site1_adsorbed.cif,-483.5493801906017,uma-s-1p2,success
MAT_005,Ru0.20Li0.80Ox,N2O,data\substituted_adsorbates\MAT_005_N2O_site2_adsorbed.cif,-483.68626885070444,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O,data\substituted_adsorbates\MAT_007_O_site0_adsorbed.cif,-605.1951937950021,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O,data\substituted_adsorbates\MAT_007_O_site1_adsorbed.cif,-609.0216230978153,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O,data\substituted_adsorbates\MAT_007_O_site2_adsorbed.cif,-608.5376313960164,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O2,data\substituted_adsorbates\MAT_007_O2_site0_adsorbed.cif,-612.1901294354653,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O2,data\substituted_adsorbates\MAT_007_O2_site1_adsorbed.cif,-613.3226433203015,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,O2,data\substituted_adsorbates\MAT_007_O2_site2_adsorbed.cif,-613.1049529612521,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site0_adsorbed.cif,-623.8206677986796,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site1_adsorbed.cif,-624.9932541926113,uma-s-1p2,success
MAT_007,Ru0.80Na0.20Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site2_adsorbed.cif,-624.6714703113639,uma-s-1p2,success
MAT_008,Ru0.60Na0.40Ox,O,data\substituted_adsorbates\MAT_008_O_site0_adsorbed.cif,-558.160309127143,uma-s-1p2,success
