material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site0_adsorbed.cif,-351.77190947301403,uma-s-1p2,success
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site1_adsorbed.cif,-351.44343315830815,uma-s-1p2,success
MAT_001,RuO2,O,data\substituted_adsorbates\MAT_001_O_site2_adsorbed.cif,-349.011133384541,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site0_adsorbed.cif,-356.00264225516565,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site1_adsorbed.cif,-356.03241509730253,uma-s-1p2,success
MAT_001,RuO2,O2,data\substituted_adsorbates\MAT_001_O2_site2_adsorbed.cif,-354.92243987520703,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site0_adsorbed.cif,-367.71582539886344,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site1_adsorbed.cif,-367.5518271173239,uma-s-1p2,success
MAT_001,RuO2,N2O,data\substituted_adsorbates\MAT_001_N2O_site2_adsorbed.cif,-365.92136704401594,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O,data\substituted_adsorbates\MAT_002_O_site0_adsorbed.cif,-657.033922232378,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O,data\substituted_adsorbates\MAT_002_O_site1_adsorbed.cif,-659.0242841092213,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O,data\substituted_adsorbates\MAT_002_O_site2_adsorbed.cif,-658.529649933247,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O2,data\substituted_adsorbates\MAT_002_O2_site0_adsorbed.cif,-662.3550992065893,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O2,data\substituted_adsorbates\MAT_002_O2_site1_adsorbed.cif,-663.1835205057348,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,O2,data\substituted_adsorbates\MAT_002_O2_site2_adsorbed.cif,-663.1363228403413,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site0_adsorbed.cif,-674.3612206194144,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site1_adsorbed.cif,-675.0069634295947,uma-s-1p2,success
MAT_002,Ru0.75Co0.25Ox,N2O,data\substituted_adsorbates\MAT_002_N2O_site2_adsorbed.cif,-674.8116687171778,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O,data\substituted_adsorbates\MAT_003_O_site0_adsorbed.cif,-311.80320776949327,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O,data\substituted_adsorbates\MAT_003_O_site1_adsorbed.cif,-313.18551379287305,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O,data\substituted_adsorbates\MAT_003_O_site2_adsorbed.cif,-310.3713158861901,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O2,data\substituted_adsorbates\MAT_003_O2_site0_adsorbed.cif,-317.0671287869677,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O2,data\substituted_adsorbates\MAT_003_O2_site1_adsorbed.cif,-317.68121121434694,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,O2,data\substituted_adsorbates\MAT_003_O2_site2_adsorbed.cif,-316.540875867692,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site0_adsorbed.cif,-329.07647702604305,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site1_adsorbed.cif,-329.3556910655815,uma-s-1p2,success
MAT_003,Ru0.50Co0.50Ox,N2O,data\substituted_adsorbates\MAT_003_N2O_site2_adsorbed.cif,-327.848881573569,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O,data\substituted_adsorbates\MAT_004_O_site0_adsorbed.cif,-572.5981831359376,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O,data\substituted_adsorbates\MAT_004_O_site1_adsorbed.cif,-572.3745102771504,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O,data\substituted_adsorbates\MAT_004_O_site2_adsorbed.cif,-572.7616681452781,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O2,data\substituted_adsorbates\MAT_004_O2_site0_adsorbed.cif,-578.1514647501343,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O2,data\substituted_adsorbates\MAT_004_O2_site1_adsorbed.cif,-578.097078914267,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,O2,data\substituted_adsorbates\MAT_004_O2_site2_adsorbed.cif,-578.302832455118,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site0_adsorbed.cif,-590.1071340474647,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site1_adsorbed.cif,-590.0720352338654,uma-s-1p2,success
MAT_004,Ru0.25Co0.75Ox,N2O,data\substituted_adsorbates\MAT_004_N2O_site2_adsorbed.cif,-590.2254174727381,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O,data\substituted_adsorbates\MAT_006_O_site0_adsorbed.cif,-668.8410300941159,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O,data\substituted_adsorbates\MAT_006_O_site1_adsorbed.cif,-670.4910876736785,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O,data\substituted_adsorbates\MAT_006_O_site2_adsorbed.cif,-670.1853001293846,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O2,data\substituted_adsorbates\MAT_006_O2_site0_adsorbed.cif,-674.0179527112011,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O2,data\substituted_adsorbates\MAT_006_O2_site1_adsorbed.cif,-674.6887744360657,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,O2,data\substituted_adsorbates\MAT_006_O2_site2_adsorbed.cif,-674.7279202575728,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,N2O,data\substituted_adsorbates\MAT_006_N2O_site0_adsorbed.cif,-685.7622358092301,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,N2O,data\substituted_adsorbates\MAT_006_N2O_site1_adsorbed.cif,-686.4258279740882,uma-s-1p2,success
MAT_006,Ru0.75Fe0.25Ox,N2O,data\substituted_adsorbates\MAT_006_N2O_site2_adsorbed.cif,-686.2558322822805,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O,data\substituted_adsorbates\MAT_007_O_site0_adsorbed.cif,-323.56066863188414,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O,data\substituted_adsorbates\MAT_007_O_site1_adsorbed.cif,-325.1948453767359,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O,data\substituted_adsorbates\MAT_007_O_site2_adsorbed.cif,-322.46889554536557,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O2,data\substituted_adsorbates\MAT_007_O2_site0_adsorbed.cif,-328.8743633994624,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O2,data\substituted_adsorbates\MAT_007_O2_site1_adsorbed.cif,-329.55713187871265,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,O2,data\substituted_adsorbates\MAT_007_O2_site2_adsorbed.cif,-328.34945947199077,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site0_adsorbed.cif,-340.5271305613489,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site1_adsorbed.cif,-340.8599758214361,uma-s-1p2,success
MAT_007,Ru0.50Fe0.50Ox,N2O,data\substituted_adsorbates\MAT_007_N2O_site2_adsorbed.cif,-339.2874043212991,uma-s-1p2,success
MAT_008,Ru0.25Fe0.75Ox,O,data\substituted_adsorbates\MAT_008_O_site0_adsorbed.cif,-609.3386383820902,uma-s-1p2,success
