material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_energy_eV,adsorbate_structure_file,parent_slab_file,backend,notes
MAT_001,Co,1.0,0.0,RuO2,O,-3.0,data\substituted_adsorbates\MAT_001_O_adsorbed.cif,data\substituted_slabs\MAT_001_110_slab.cif,placeholder,placeholder energies
MAT_001,Co,1.0,0.0,RuO2,O2,-3.0,data\substituted_adsorbates\MAT_001_O2_adsorbed.cif,data\substituted_slabs\MAT_001_110_slab.cif,placeholder,placeholder energies
MAT_001,Co,1.0,0.0,RuO2,N2O,-3.0,data\substituted_adsorbates\MAT_001_N2O_adsorbed.cif,data\substituted_slabs\MAT_001_110_slab.cif,placeholder,placeholder energies
MAT_002,Co,0.75,0.25,Ru0.75Co0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_002_O_adsorbed.cif,data\substituted_slabs\MAT_002_110_slab.cif,placeholder,placeholder energies
MAT_002,Co,0.75,0.25,Ru0.75Co0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_002_O2_adsorbed.cif,data\substituted_slabs\MAT_002_110_slab.cif,placeholder,placeholder energies
MAT_002,Co,0.75,0.25,Ru0.75Co0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_002_N2O_adsorbed.cif,data\substituted_slabs\MAT_002_110_slab.cif,placeholder,placeholder energies
MAT_003,Co,0.5,0.5,Ru0.50Co0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_003_O_adsorbed.cif,data\substituted_slabs\MAT_003_110_slab.cif,placeholder,placeholder energies
MAT_003,Co,0.5,0.5,Ru0.50Co0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_003_O2_adsorbed.cif,data\substituted_slabs\MAT_003_110_slab.cif,placeholder,placeholder energies
MAT_003,Co,0.5,0.5,Ru0.50Co0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_003_N2O_adsorbed.cif,data\substituted_slabs\MAT_003_110_slab.cif,placeholder,placeholder energies
MAT_004,Co,0.25,0.75,Ru0.25Co0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_004_O_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,placeholder,placeholder energies
MAT_004,Co,0.25,0.75,Ru0.25Co0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_004_O2_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,placeholder,placeholder energies
MAT_004,Co,0.25,0.75,Ru0.25Co0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_004_N2O_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,placeholder,placeholder energies
MAT_006,Fe,0.75,0.25,Ru0.75Fe0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_006_O_adsorbed.cif,data\substituted_slabs\MAT_006_110_slab.cif,placeholder,placeholder energies
MAT_006,Fe,0.75,0.25,Ru0.75Fe0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_006_O2_adsorbed.cif,data\substituted_slabs\MAT_006_110_slab.cif,placeholder,placeholder energies
MAT_006,Fe,0.75,0.25,Ru0.75Fe0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_006_N2O_adsorbed.cif,data\substituted_slabs\MAT_006_110_slab.cif,placeholder,placeholder energies
MAT_007,Fe,0.5,0.5,Ru0.50Fe0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_007_O_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,placeholder,placeholder energies
MAT_007,Fe,0.5,0.5,Ru0.50Fe0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_007_O2_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,placeholder,placeholder energies
MAT_007,Fe,0.5,0.5,Ru0.50Fe0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_007_N2O_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,placeholder,placeholder energies
MAT_008,Fe,0.25,0.75,Ru0.25Fe0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_008_O_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,placeholder,placeholder energies
MAT_008,Fe,0.25,0.75,Ru0.25Fe0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_008_O2_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,placeholder,placeholder energies
MAT_008,Fe,0.25,0.75,Ru0.25Fe0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_008_N2O_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,placeholder,placeholder energies
MAT_010,Mn,0.75,0.25,Ru0.75Mn0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_010_O_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,placeholder,placeholder energies
MAT_010,Mn,0.75,0.25,Ru0.75Mn0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_010_O2_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,placeholder,placeholder energies
MAT_010,Mn,0.75,0.25,Ru0.75Mn0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_010_N2O_adsorbed.cif,data\substituted_slabs\MAT_010_110_slab.cif,placeholder,placeholder energies
MAT_011,Mn,0.5,0.5,Ru0.50Mn0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_011_O_adsorbed.cif,data\substituted_slabs\MAT_011_110_slab.cif,placeholder,placeholder energies
MAT_011,Mn,0.5,0.5,Ru0.50Mn0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_011_O2_adsorbed.cif,data\substituted_slabs\MAT_011_110_slab.cif,placeholder,placeholder energies
MAT_011,Mn,0.5,0.5,Ru0.50Mn0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_011_N2O_adsorbed.cif,data\substituted_slabs\MAT_011_110_slab.cif,placeholder,placeholder energies
MAT_012,Mn,0.25,0.75,Ru0.25Mn0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_012_O_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,placeholder,placeholder energies
MAT_012,Mn,0.25,0.75,Ru0.25Mn0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_012_O2_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,placeholder,placeholder energies
MAT_012,Mn,0.25,0.75,Ru0.25Mn0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_012_N2O_adsorbed.cif,data\substituted_slabs\MAT_012_110_slab.cif,placeholder,placeholder energies
MAT_014,Ce,0.75,0.25,Ru0.75Ce0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_014_O_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,placeholder,placeholder energies
MAT_014,Ce,0.75,0.25,Ru0.75Ce0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_014_O2_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,placeholder,placeholder energies
MAT_014,Ce,0.75,0.25,Ru0.75Ce0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_014_N2O_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,placeholder,placeholder energies
MAT_015,Ce,0.5,0.5,Ru0.50Ce0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_015_O_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,placeholder,placeholder energies
MAT_015,Ce,0.5,0.5,Ru0.50Ce0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_015_O2_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,placeholder,placeholder energies
MAT_015,Ce,0.5,0.5,Ru0.50Ce0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_015_N2O_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,placeholder,placeholder energies
MAT_016,Ce,0.25,0.75,Ru0.25Ce0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_016_O_adsorbed.cif,data\substituted_slabs\MAT_016_110_slab.cif,placeholder,placeholder energies
MAT_016,Ce,0.25,0.75,Ru0.25Ce0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_016_O2_adsorbed.cif,data\substituted_slabs\MAT_016_110_slab.cif,placeholder,placeholder energies
MAT_016,Ce,0.25,0.75,Ru0.25Ce0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_016_N2O_adsorbed.cif,data\substituted_slabs\MAT_016_110_slab.cif,placeholder,placeholder energies
MAT_018,Ni,0.75,0.25,Ru0.75Ni0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_018_O_adsorbed.cif,data\substituted_slabs\MAT_018_110_slab.cif,placeholder,placeholder energies
MAT_018,Ni,0.75,0.25,Ru0.75Ni0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_018_O2_adsorbed.cif,data\substituted_slabs\MAT_018_110_slab.cif,placeholder,placeholder energies
MAT_018,Ni,0.75,0.25,Ru0.75Ni0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_018_N2O_adsorbed.cif,data\substituted_slabs\MAT_018_110_slab.cif,placeholder,placeholder energies
MAT_019,Ni,0.5,0.5,Ru0.50Ni0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_019_O_adsorbed.cif,data\substituted_slabs\MAT_019_110_slab.cif,placeholder,placeholder energies
MAT_019,Ni,0.5,0.5,Ru0.50Ni0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_019_O2_adsorbed.cif,data\substituted_slabs\MAT_019_110_slab.cif,placeholder,placeholder energies
MAT_019,Ni,0.5,0.5,Ru0.50Ni0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_019_N2O_adsorbed.cif,data\substituted_slabs\MAT_019_110_slab.cif,placeholder,placeholder energies
MAT_020,Ni,0.25,0.75,Ru0.25Ni0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_020_O_adsorbed.cif,data\substituted_slabs\MAT_020_110_slab.cif,placeholder,placeholder energies
MAT_020,Ni,0.25,0.75,Ru0.25Ni0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_020_O2_adsorbed.cif,data\substituted_slabs\MAT_020_110_slab.cif,placeholder,placeholder energies
MAT_020,Ni,0.25,0.75,Ru0.25Ni0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_020_N2O_adsorbed.cif,data\substituted_slabs\MAT_020_110_slab.cif,placeholder,placeholder energies
MAT_022,Cu,0.75,0.25,Ru0.75Cu0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_022_O_adsorbed.cif,data\substituted_slabs\MAT_022_110_slab.cif,placeholder,placeholder energies
MAT_022,Cu,0.75,0.25,Ru0.75Cu0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_022_O2_adsorbed.cif,data\substituted_slabs\MAT_022_110_slab.cif,placeholder,placeholder energies
MAT_022,Cu,0.75,0.25,Ru0.75Cu0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_022_N2O_adsorbed.cif,data\substituted_slabs\MAT_022_110_slab.cif,placeholder,placeholder energies
MAT_023,Cu,0.5,0.5,Ru0.50Cu0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_023_O_adsorbed.cif,data\substituted_slabs\MAT_023_110_slab.cif,placeholder,placeholder energies
MAT_023,Cu,0.5,0.5,Ru0.50Cu0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_023_O2_adsorbed.cif,data\substituted_slabs\MAT_023_110_slab.cif,placeholder,placeholder energies
MAT_023,Cu,0.5,0.5,Ru0.50Cu0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_023_N2O_adsorbed.cif,data\substituted_slabs\MAT_023_110_slab.cif,placeholder,placeholder energies
MAT_024,Cu,0.25,0.75,Ru0.25Cu0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_024_O_adsorbed.cif,data\substituted_slabs\MAT_024_110_slab.cif,placeholder,placeholder energies
MAT_024,Cu,0.25,0.75,Ru0.25Cu0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_024_O2_adsorbed.cif,data\substituted_slabs\MAT_024_110_slab.cif,placeholder,placeholder energies
MAT_024,Cu,0.25,0.75,Ru0.25Cu0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_024_N2O_adsorbed.cif,data\substituted_slabs\MAT_024_110_slab.cif,placeholder,placeholder energies
MAT_026,Ti,0.75,0.25,Ru0.75Ti0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_026_O_adsorbed.cif,data\substituted_slabs\MAT_026_110_slab.cif,placeholder,placeholder energies
MAT_026,Ti,0.75,0.25,Ru0.75Ti0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_026_O2_adsorbed.cif,data\substituted_slabs\MAT_026_110_slab.cif,placeholder,placeholder energies
MAT_026,Ti,0.75,0.25,Ru0.75Ti0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_026_N2O_adsorbed.cif,data\substituted_slabs\MAT_026_110_slab.cif,placeholder,placeholder energies
MAT_027,Ti,0.5,0.5,Ru0.50Ti0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_027_O_adsorbed.cif,data\substituted_slabs\MAT_027_110_slab.cif,placeholder,placeholder energies
MAT_027,Ti,0.5,0.5,Ru0.50Ti0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_027_O2_adsorbed.cif,data\substituted_slabs\MAT_027_110_slab.cif,placeholder,placeholder energies
MAT_027,Ti,0.5,0.5,Ru0.50Ti0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_027_N2O_adsorbed.cif,data\substituted_slabs\MAT_027_110_slab.cif,placeholder,placeholder energies
MAT_028,Ti,0.25,0.75,Ru0.25Ti0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_028_O_adsorbed.cif,data\substituted_slabs\MAT_028_110_slab.cif,placeholder,placeholder energies
MAT_028,Ti,0.25,0.75,Ru0.25Ti0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_028_O2_adsorbed.cif,data\substituted_slabs\MAT_028_110_slab.cif,placeholder,placeholder energies
MAT_028,Ti,0.25,0.75,Ru0.25Ti0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_028_N2O_adsorbed.cif,data\substituted_slabs\MAT_028_110_slab.cif,placeholder,placeholder energies
MAT_030,Zr,0.75,0.25,Ru0.75Zr0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_030_O_adsorbed.cif,data\substituted_slabs\MAT_030_110_slab.cif,placeholder,placeholder energies
MAT_030,Zr,0.75,0.25,Ru0.75Zr0.25Ox,O2,-3.0,data\substituted_adsorbates\MAT_030_O2_adsorbed.cif,data\substituted_slabs\MAT_030_110_slab.cif,placeholder,placeholder energies
MAT_030,Zr,0.75,0.25,Ru0.75Zr0.25Ox,N2O,-3.0,data\substituted_adsorbates\MAT_030_N2O_adsorbed.cif,data\substituted_slabs\MAT_030_110_slab.cif,placeholder,placeholder energies
MAT_031,Zr,0.5,0.5,Ru0.50Zr0.50Ox,O,-3.0,data\substituted_adsorbates\MAT_031_O_adsorbed.cif,data\substituted_slabs\MAT_031_110_slab.cif,placeholder,placeholder energies
MAT_031,Zr,0.5,0.5,Ru0.50Zr0.50Ox,O2,-3.0,data\substituted_adsorbates\MAT_031_O2_adsorbed.cif,data\substituted_slabs\MAT_031_110_slab.cif,placeholder,placeholder energies
MAT_031,Zr,0.5,0.5,Ru0.50Zr0.50Ox,N2O,-3.0,data\substituted_adsorbates\MAT_031_N2O_adsorbed.cif,data\substituted_slabs\MAT_031_110_slab.cif,placeholder,placeholder energies
MAT_032,Zr,0.25,0.75,Ru0.25Zr0.75Ox,O,-3.0,data\substituted_adsorbates\MAT_032_O_adsorbed.cif,data\substituted_slabs\MAT_032_110_slab.cif,placeholder,placeholder energies
MAT_032,Zr,0.25,0.75,Ru0.25Zr0.75Ox,O2,-3.0,data\substituted_adsorbates\MAT_032_O2_adsorbed.cif,data\substituted_slabs\MAT_032_110_slab.cif,placeholder,placeholder energies
MAT_032,Zr,0.25,0.75,Ru0.25Zr0.75Ox,N2O,-3.0,data\substituted_adsorbates\MAT_032_N2O_adsorbed.cif,data\substituted_slabs\MAT_032_110_slab.cif,placeholder,placeholder energies
MAT_034,V,0.75,0.25,Ru0.75V0.25Ox,O,-3.0,data\substituted_adsorbates\MAT_034_O_adsorbed.cif,data\substituted_slabs\MAT_034_110_slab.cif,placeholder,placeholder energies
