material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_001,Li,1.0,0.0,RuO2,"(1,1,0)",data\substituted_slabs\MAT_001_110_slab.cif,data\substituted_structures\MAT_001_RuO2.cif,generated substituted slab
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_002_110_slab.cif,data\substituted_structures\MAT_002_Ru0.80Li0.20Ox.cif,generated substituted slab
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_003_110_slab.cif,data\substituted_structures\MAT_003_Ru0.60Li0.40Ox.cif,generated substituted slab
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_004_110_slab.cif,data\substituted_structures\MAT_004_Ru0.40Li0.60Ox.cif,generated substituted slab
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_005_110_slab.cif,data\substituted_structures\MAT_005_Ru0.20Li0.80Ox.cif,generated substituted slab
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_007_110_slab.cif,data\substituted_structures\MAT_007_Ru0.80Na0.20Ox.cif,generated substituted slab
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_008_110_slab.cif,data\substituted_structures\MAT_008_Ru0.60Na0.40Ox.cif,generated substituted slab
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_009_110_slab.cif,data\substituted_structures\MAT_009_Ru0.40Na0.60Ox.cif,generated substituted slab
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_010_110_slab.cif,data\substituted_structures\MAT_010_Ru0.20Na0.80Ox.cif,generated substituted slab
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_012_110_slab.cif,data\substituted_structures\MAT_012_Ru0.80Mg0.20Ox.cif,generated substituted slab
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_013_110_slab.cif,data\substituted_structures\MAT_013_Ru0.60Mg0.40Ox.cif,generated substituted slab
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_014_110_slab.cif,data\substituted_structures\MAT_014_Ru0.40Mg0.60Ox.cif,generated substituted slab
