material_id,M_element,Ru_fraction,M_fraction,nominal_formula,notes
MAT_001,Co,1.0,0.0,RuO2,Ru-M oxide screening
MAT_002,Co,0.75,0.25,Ru0.75Co0.25Ox,Ru-M oxide screening
MAT_003,Co,0.5,0.5,Ru0.50Co0.50Ox,Ru-M oxide screening
MAT_004,Co,0.25,0.75,Ru0.25Co0.75Ox,Ru-M oxide screening
MAT_005,Co,0.0,1.0,CoOx,Ru-M oxide screening
MAT_006,Fe,0.75,0.25,Ru0.75Fe0.25Ox,Ru-M oxide screening
MAT_007,Fe,0.5,0.5,Ru0.50Fe0.50Ox,Ru-M oxide screening
MAT_008,Fe,0.25,0.75,Ru0.25Fe0.75Ox,Ru-M oxide screening
MAT_009,Fe,0.0,1.0,FeOx,Ru-M oxide screening
MAT_010,Mn,0.75,0.25,Ru0.75Mn0.25Ox,Ru-M oxide screening
MAT_011,Mn,0.5,0.5,Ru0.50Mn0.50Ox,Ru-M oxide screening
MAT_012,Mn,0.25,0.75,Ru0.25Mn0.75Ox,Ru-M oxide screening
MAT_013,Mn,0.0,1.0,MnOx,Ru-M oxide screening
MAT_014,Ce,0.75,0.25,Ru0.75Ce0.25Ox,Ru-M oxide screening
MAT_015,Ce,0.5,0.5,Ru0.50Ce0.50Ox,Ru-M oxide screening
MAT_016,Ce,0.25,0.75,Ru0.25Ce0.75Ox,Ru-M oxide screening
MAT_017,Ce,0.0,1.0,CeOx,Ru-M oxide screening
MAT_018,Ni,0.75,0.25,Ru0.75Ni0.25Ox,Ru-M oxide screening
MAT_019,Ni,0.5,0.5,Ru0.50Ni0.50Ox,Ru-M oxide screening
MAT_020,Ni,0.25,0.75,Ru0.25Ni0.75Ox,Ru-M oxide screening
MAT_021,Ni,0.0,1.0,NiOx,Ru-M oxide screening
MAT_022,Cu,0.75,0.25,Ru0.75Cu0.25Ox,Ru-M oxide screening
MAT_023,Cu,0.5,0.5,Ru0.50Cu0.50Ox,Ru-M oxide screening
MAT_024,Cu,0.25,0.75,Ru0.25Cu0.75Ox,Ru-M oxide screening
MAT_025,Cu,0.0,1.0,CuOx,Ru-M oxide screening
MAT_026,Ti,0.75,0.25,Ru0.75Ti0.25Ox,Ru-M oxide screening
MAT_027,Ti,0.5,0.5,Ru0.50Ti0.50Ox,Ru-M oxide screening
MAT_028,Ti,0.25,0.75,Ru0.25Ti0.75Ox,Ru-M oxide screening
MAT_029,Ti,0.0,1.0,TiOx,Ru-M oxide screening
MAT_030,Zr,0.75,0.25,Ru0.75Zr0.25Ox,Ru-M oxide screening
MAT_031,Zr,0.5,0.5,Ru0.50Zr0.50Ox,Ru-M oxide screening
MAT_032,Zr,0.25,0.75,Ru0.25Zr0.75Ox,Ru-M oxide screening
MAT_033,Zr,0.0,1.0,ZrOx,Ru-M oxide screening
MAT_034,V,0.75,0.25,Ru0.75V0.25Ox,Ru-M oxide screening
MAT_035,V,0.5,0.5,Ru0.50V0.50Ox,Ru-M oxide screening
MAT_036,V,0.25,0.75,Ru0.25V0.75Ox,Ru-M oxide screening
MAT_037,V,0.0,1.0,VOx,Ru-M oxide screening
MAT_038,Si,0.75,0.25,Ru0.75Si0.25Ox,Ru-M oxide screening
MAT_039,Si,0.5,0.5,Ru0.50Si0.50Ox,Ru-M oxide screening
MAT_040,Si,0.25,0.75,Ru0.25Si0.75Ox,Ru-M oxide screening
MAT_041,Si,0.0,1.0,SiOx,Ru-M oxide screening
