material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,parent_slab_file,notes
MAT_001,Li,1.0,0.0,RuO2,0,data\h2o_adsorbates\MAT_001_H2O_site0.cif,data\substituted_slabs\MAT_001_110_slab.cif,H2O adsorption structure
MAT_001,Li,1.0,0.0,RuO2,1,data\h2o_adsorbates\MAT_001_H2O_site1.cif,data\substituted_slabs\MAT_001_110_slab.cif,H2O adsorption structure
MAT_001,Li,1.0,0.0,RuO2,2,data\h2o_adsorbates\MAT_001_H2O_site2.cif,data\substituted_slabs\MAT_001_110_slab.cif,H2O adsorption structure
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,0,data\h2o_adsorbates\MAT_002_H2O_site0.cif,data\substituted_slabs\MAT_002_110_slab.cif,H2O adsorption structure
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,1,data\h2o_adsorbates\MAT_002_H2O_site1.cif,data\substituted_slabs\MAT_002_110_slab.cif,H2O adsorption structure
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,2,data\h2o_adsorbates\MAT_002_H2O_site2.cif,data\substituted_slabs\MAT_002_110_slab.cif,H2O adsorption structure
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,0,data\h2o_adsorbates\MAT_003_H2O_site0.cif,data\substituted_slabs\MAT_003_110_slab.cif,H2O adsorption structure
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,1,data\h2o_adsorbates\MAT_003_H2O_site1.cif,data\substituted_slabs\MAT_003_110_slab.cif,H2O adsorption structure
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,2,data\h2o_adsorbates\MAT_003_H2O_site2.cif,data\substituted_slabs\MAT_003_110_slab.cif,H2O adsorption structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,0,data\h2o_adsorbates\MAT_004_H2O_site0.cif,data\substituted_slabs\MAT_004_110_slab.cif,H2O adsorption structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,1,data\h2o_adsorbates\MAT_004_H2O_site1.cif,data\substituted_slabs\MAT_004_110_slab.cif,H2O adsorption structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,2,data\h2o_adsorbates\MAT_004_H2O_site2.cif,data\substituted_slabs\MAT_004_110_slab.cif,H2O adsorption structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,0,data\h2o_adsorbates\MAT_005_H2O_site0.cif,data\substituted_slabs\MAT_005_110_slab.cif,H2O adsorption structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,1,data\h2o_adsorbates\MAT_005_H2O_site1.cif,data\substituted_slabs\MAT_005_110_slab.cif,H2O adsorption structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,2,data\h2o_adsorbates\MAT_005_H2O_site2.cif,data\substituted_slabs\MAT_005_110_slab.cif,H2O adsorption structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,0,data\h2o_adsorbates\MAT_007_H2O_site0.cif,data\substituted_slabs\MAT_007_110_slab.cif,H2O adsorption structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,1,data\h2o_adsorbates\MAT_007_H2O_site1.cif,data\substituted_slabs\MAT_007_110_slab.cif,H2O adsorption structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,2,data\h2o_adsorbates\MAT_007_H2O_site2.cif,data\substituted_slabs\MAT_007_110_slab.cif,H2O adsorption structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,0,data\h2o_adsorbates\MAT_008_H2O_site0.cif,data\substituted_slabs\MAT_008_110_slab.cif,H2O adsorption structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,1,data\h2o_adsorbates\MAT_008_H2O_site1.cif,data\substituted_slabs\MAT_008_110_slab.cif,H2O adsorption structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,2,data\h2o_adsorbates\MAT_008_H2O_site2.cif,data\substituted_slabs\MAT_008_110_slab.cif,H2O adsorption structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,0,data\h2o_adsorbates\MAT_009_H2O_site0.cif,data\substituted_slabs\MAT_009_110_slab.cif,H2O adsorption structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,1,data\h2o_adsorbates\MAT_009_H2O_site1.cif,data\substituted_slabs\MAT_009_110_slab.cif,H2O adsorption structure
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,2,data\h2o_adsorbates\MAT_009_H2O_site2.cif,data\substituted_slabs\MAT_009_110_slab.cif,H2O adsorption structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,0,data\h2o_adsorbates\MAT_010_H2O_site0.cif,data\substituted_slabs\MAT_010_110_slab.cif,H2O adsorption structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,1,data\h2o_adsorbates\MAT_010_H2O_site1.cif,data\substituted_slabs\MAT_010_110_slab.cif,H2O adsorption structure
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,2,data\h2o_adsorbates\MAT_010_H2O_site2.cif,data\substituted_slabs\MAT_010_110_slab.cif,H2O adsorption structure
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,0,data\h2o_adsorbates\MAT_012_H2O_site0.cif,data\substituted_slabs\MAT_012_110_slab.cif,H2O adsorption structure
