material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,predicted_energy_eV,backend,status
MAT_001,Li,1.0,0.0,RuO2,0,data\h2o_adsorbates\MAT_001_H2O_site0.cif,-359.8722870143849,uma-s-1p2,success
MAT_001,Li,1.0,0.0,RuO2,1,data\h2o_adsorbates\MAT_001_H2O_site1.cif,-359.32322430818294,uma-s-1p2,success
MAT_001,Li,1.0,0.0,RuO2,2,data\h2o_adsorbates\MAT_001_H2O_site2.cif,-358.0907815135217,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,0,data\h2o_adsorbates\MAT_002_H2O_site0.cif,-639.0022453152103,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,1,data\h2o_adsorbates\MAT_002_H2O_site1.cif,-639.4968428335269,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,2,data\h2o_adsorbates\MAT_002_H2O_site2.cif,-638.9145502868425,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,0,data\h2o_adsorbates\MAT_003_H2O_site0.cif,-603.1434353795772,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,1,data\h2o_adsorbates\MAT_003_H2O_site1.cif,-603.6371042980578,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,2,data\h2o_adsorbates\MAT_003_H2O_site2.cif,-602.8796557662181,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,0,data\h2o_adsorbates\MAT_004_H2O_site0.cif,-521.5413687157885,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,1,data\h2o_adsorbates\MAT_004_H2O_site1.cif,-521.530842741224,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,2,data\h2o_adsorbates\MAT_004_H2O_site2.cif,-521.2058655892938,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,0,data\h2o_adsorbates\MAT_005_H2O_site0.cif,-476.41236679974105,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,1,data\h2o_adsorbates\MAT_005_H2O_site1.cif,-476.4071746506014,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,2,data\h2o_adsorbates\MAT_005_H2O_site2.cif,-476.5157479835358,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,0,data\h2o_adsorbates\MAT_007_H2O_site0.cif,-616.3359394469545,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,1,data\h2o_adsorbates\MAT_007_H2O_site1.cif,-617.2083938995117,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,2,data\h2o_adsorbates\MAT_007_H2O_site2.cif,-616.5940230402331,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,0,data\h2o_adsorbates\MAT_008_H2O_site0.cif,-569.1763627053767,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,1,data\h2o_adsorbates\MAT_008_H2O_site1.cif,-570.0449424397675,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,2,data\h2o_adsorbates\MAT_008_H2O_site2.cif,-569.2614627190347,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,0,data\h2o_adsorbates\MAT_009_H2O_site0.cif,-465.70909714308215,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,1,data\h2o_adsorbates\MAT_009_H2O_site1.cif,-465.6960545759486,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,2,data\h2o_adsorbates\MAT_009_H2O_site2.cif,-465.68508649728415,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,0,data\h2o_adsorbates\MAT_010_H2O_site0.cif,-409.9772808121114,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,1,data\h2o_adsorbates\MAT_010_H2O_site1.cif,-409.945091914125,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,2,data\h2o_adsorbates\MAT_010_H2O_site2.cif,-409.99236361973806,uma-s-1p2,success
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,0,data\h2o_adsorbates\MAT_012_H2O_site0.cif,-656.9495805252341,uma-s-1p2,success
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,1,data\h2o_adsorbates\MAT_012_H2O_site1.cif,-657.2543943156567,uma-s-1p2,success
