material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_001,Li,1.0,0.0,RuO2,0,data\vacancies\MAT_001_vacancy_site0.cif,-163.98538197260933,uma-s-1p2,success
MAT_001,Li,1.0,0.0,RuO2,1,data\vacancies\MAT_001_vacancy_site1.cif,-164.67400890548328,uma-s-1p2,success
MAT_001,Li,1.0,0.0,RuO2,2,data\vacancies\MAT_001_vacancy_site2.cif,-163.98538569711732,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,0,data\vacancies\MAT_002_vacancy_site0.cif,-305.53148248424725,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,1,data\vacancies\MAT_002_vacancy_site1.cif,-304.7222822060884,uma-s-1p2,success
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,2,data\vacancies\MAT_002_vacancy_site2.cif,-303.85522913003274,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,0,data\vacancies\MAT_003_vacancy_site0.cif,-287.6822532568136,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,1,data\vacancies\MAT_003_vacancy_site1.cif,-287.70649073764775,uma-s-1p2,success
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,2,data\vacancies\MAT_003_vacancy_site2.cif,-285.9809536061061,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,0,data\vacancies\MAT_004_vacancy_site0.cif,-246.91567844309884,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,1,data\vacancies\MAT_004_vacancy_site1.cif,-247.1817854965132,uma-s-1p2,success
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,2,data\vacancies\MAT_004_vacancy_site2.cif,-246.8671089839134,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,0,data\vacancies\MAT_005_vacancy_site0.cif,-227.06795319580695,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,1,data\vacancies\MAT_005_vacancy_site1.cif,-227.66788933934885,uma-s-1p2,success
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,2,data\vacancies\MAT_005_vacancy_site2.cif,-227.17443064559845,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,0,data\vacancies\MAT_007_vacancy_site0.cif,-295.1852078165379,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,1,data\vacancies\MAT_007_vacancy_site1.cif,-293.62018774638983,uma-s-1p2,success
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,2,data\vacancies\MAT_007_vacancy_site2.cif,-292.7255122716331,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,0,data\vacancies\MAT_008_vacancy_site0.cif,-271.67790486573995,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,1,data\vacancies\MAT_008_vacancy_site1.cif,-271.4087247932581,uma-s-1p2,success
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,2,data\vacancies\MAT_008_vacancy_site2.cif,-269.1827775312206,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,0,data\vacancies\MAT_009_vacancy_site0.cif,-219.76324083053487,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,1,data\vacancies\MAT_009_vacancy_site1.cif,-219.85825292734967,uma-s-1p2,success
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,2,data\vacancies\MAT_009_vacancy_site2.cif,-219.76438848893417,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,0,data\vacancies\MAT_010_vacancy_site0.cif,-195.10511561335852,uma-s-1p2,success
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,1,data\vacancies\MAT_010_vacancy_site1.cif,-195.57266513709772,uma-s-1p2,success
