material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_001,Co,1.0,0.0,RuO2,"(1,1,0)",data\substituted_slabs\MAT_001_110_slab.cif,data\substituted_structures\MAT_001_RuO2.cif,generated substituted slab
MAT_002,Co,0.75,0.25,Ru0.75Co0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_002_110_slab.cif,data\substituted_structures\MAT_002_Ru0.75Co0.25Ox.cif,generated substituted slab
MAT_003,Co,0.5,0.5,Ru0.50Co0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_003_110_slab.cif,data\substituted_structures\MAT_003_Ru0.50Co0.50Ox.cif,generated substituted slab
MAT_004,Co,0.25,0.75,Ru0.25Co0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_004_110_slab.cif,data\substituted_structures\MAT_004_Ru0.25Co0.75Ox.cif,generated substituted slab
MAT_006,Fe,0.75,0.25,Ru0.75Fe0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_006_110_slab.cif,data\substituted_structures\MAT_006_Ru0.75Fe0.25Ox.cif,generated substituted slab
MAT_007,Fe,0.5,0.5,Ru0.50Fe0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_007_110_slab.cif,data\substituted_structures\MAT_007_Ru0.50Fe0.50Ox.cif,generated substituted slab
MAT_008,Fe,0.25,0.75,Ru0.25Fe0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_008_110_slab.cif,data\substituted_structures\MAT_008_Ru0.25Fe0.75Ox.cif,generated substituted slab
MAT_010,Mn,0.75,0.25,Ru0.75Mn0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_010_110_slab.cif,data\substituted_structures\MAT_010_Ru0.75Mn0.25Ox.cif,generated substituted slab
MAT_011,Mn,0.5,0.5,Ru0.50Mn0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_011_110_slab.cif,data\substituted_structures\MAT_011_Ru0.50Mn0.50Ox.cif,generated substituted slab
MAT_012,Mn,0.25,0.75,Ru0.25Mn0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_012_110_slab.cif,data\substituted_structures\MAT_012_Ru0.25Mn0.75Ox.cif,generated substituted slab
MAT_014,Ce,0.75,0.25,Ru0.75Ce0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_014_110_slab.cif,data\substituted_structures\MAT_014_Ru0.75Ce0.25Ox.cif,generated substituted slab
MAT_015,Ce,0.5,0.5,Ru0.50Ce0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_015_110_slab.cif,data\substituted_structures\MAT_015_Ru0.50Ce0.50Ox.cif,generated substituted slab
MAT_016,Ce,0.25,0.75,Ru0.25Ce0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_016_110_slab.cif,data\substituted_structures\MAT_016_Ru0.25Ce0.75Ox.cif,generated substituted slab
MAT_018,Ni,0.75,0.25,Ru0.75Ni0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_018_110_slab.cif,data\substituted_structures\MAT_018_Ru0.75Ni0.25Ox.cif,generated substituted slab
MAT_019,Ni,0.5,0.5,Ru0.50Ni0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_019_110_slab.cif,data\substituted_structures\MAT_019_Ru0.50Ni0.50Ox.cif,generated substituted slab
MAT_020,Ni,0.25,0.75,Ru0.25Ni0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_020_110_slab.cif,data\substituted_structures\MAT_020_Ru0.25Ni0.75Ox.cif,generated substituted slab
MAT_022,Cu,0.75,0.25,Ru0.75Cu0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_022_110_slab.cif,data\substituted_structures\MAT_022_Ru0.75Cu0.25Ox.cif,generated substituted slab
MAT_023,Cu,0.5,0.5,Ru0.50Cu0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_023_110_slab.cif,data\substituted_structures\MAT_023_Ru0.50Cu0.50Ox.cif,generated substituted slab
MAT_024,Cu,0.25,0.75,Ru0.25Cu0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_024_110_slab.cif,data\substituted_structures\MAT_024_Ru0.25Cu0.75Ox.cif,generated substituted slab
MAT_026,Ti,0.75,0.25,Ru0.75Ti0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_026_110_slab.cif,data\substituted_structures\MAT_026_Ru0.75Ti0.25Ox.cif,generated substituted slab
MAT_027,Ti,0.5,0.5,Ru0.50Ti0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_027_110_slab.cif,data\substituted_structures\MAT_027_Ru0.50Ti0.50Ox.cif,generated substituted slab
MAT_028,Ti,0.25,0.75,Ru0.25Ti0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_028_110_slab.cif,data\substituted_structures\MAT_028_Ru0.25Ti0.75Ox.cif,generated substituted slab
MAT_030,Zr,0.75,0.25,Ru0.75Zr0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_030_110_slab.cif,data\substituted_structures\MAT_030_Ru0.75Zr0.25Ox.cif,generated substituted slab
MAT_031,Zr,0.5,0.5,Ru0.50Zr0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_031_110_slab.cif,data\substituted_structures\MAT_031_Ru0.50Zr0.50Ox.cif,generated substituted slab
MAT_032,Zr,0.25,0.75,Ru0.25Zr0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_032_110_slab.cif,data\substituted_structures\MAT_032_Ru0.25Zr0.75Ox.cif,generated substituted slab
MAT_034,V,0.75,0.25,Ru0.75V0.25Ox,"(1,1,0)",data\substituted_slabs\MAT_034_110_slab.cif,data\substituted_structures\MAT_034_Ru0.75V0.25Ox.cif,generated substituted slab
MAT_035,V,0.5,0.5,Ru0.50V0.50Ox,"(1,1,0)",data\substituted_slabs\MAT_035_110_slab.cif,data\substituted_structures\MAT_035_Ru0.50V0.50Ox.cif,generated substituted slab
MAT_036,V,0.25,0.75,Ru0.25V0.75Ox,"(1,1,0)",data\substituted_slabs\MAT_036_110_slab.cif,data\substituted_structures\MAT_036_Ru0.25V0.75Ox.cif,generated substituted slab
