material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_001,Li,1.0,0.0,RuO2,data\substituted_structures\MAT_001_RuO2.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,data\substituted_structures\MAT_002_Ru0.80Li0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,data\substituted_structures\MAT_003_Ru0.60Li0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,data\substituted_structures\MAT_004_Ru0.40Li0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,data\substituted_structures\MAT_005_Ru0.20Li0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,data\substituted_structures\MAT_007_Ru0.80Na0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,data\substituted_structures\MAT_008_Ru0.60Na0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,data\substituted_structures\MAT_009_Ru0.40Na0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,data\substituted_structures\MAT_010_Ru0.20Na0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,data\substituted_structures\MAT_012_Ru0.80Mg0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,data\substituted_structures\MAT_013_Ru0.60Mg0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,data\substituted_structures\MAT_014_Ru0.40Mg0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,data\substituted_structures\MAT_015_Ru0.20Mg0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,data\substituted_structures\MAT_017_Ru0.80Al0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,data\substituted_structures\MAT_018_Ru0.60Al0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,data\substituted_structures\MAT_019_Ru0.40Al0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,data\substituted_structures\MAT_020_Ru0.20Al0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,data\substituted_structures\MAT_022_Ru0.80Si0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,data\substituted_structures\MAT_023_Ru0.60Si0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,data\substituted_structures\MAT_024_Ru0.40Si0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,data\substituted_structures\MAT_025_Ru0.20Si0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,data\substituted_structures\MAT_027_Ru0.80K0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,data\substituted_structures\MAT_028_Ru0.60K0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,data\substituted_structures\MAT_029_Ru0.40K0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,data\substituted_structures\MAT_030_Ru0.20K0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,data\substituted_structures\MAT_032_Ru0.80Ca0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,data\substituted_structures\MAT_033_Ru0.60Ca0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
