material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,removed_atom_index,removed_species,vacancy_structure_file,parent_slab_file,notes
MAT_001,Li,1.0,0.0,RuO2,0,23,O,data\vacancies\MAT_001_vacancy_site0.cif,data\substituted_slabs\MAT_001_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_001,Li,1.0,0.0,RuO2,1,19,O,data\vacancies\MAT_001_vacancy_site1.cif,data\substituted_slabs\MAT_001_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_001,Li,1.0,0.0,RuO2,2,21,O,data\vacancies\MAT_001_vacancy_site2.cif,data\substituted_slabs\MAT_001_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,0,45,O,data\vacancies\MAT_002_vacancy_site0.cif,data\substituted_slabs\MAT_002_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,1,37,O,data\vacancies\MAT_002_vacancy_site1.cif,data\substituted_slabs\MAT_002_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,2,41,O,data\vacancies\MAT_002_vacancy_site2.cif,data\substituted_slabs\MAT_002_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,0,45,O,data\vacancies\MAT_003_vacancy_site0.cif,data\substituted_slabs\MAT_003_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,1,37,O,data\vacancies\MAT_003_vacancy_site1.cif,data\substituted_slabs\MAT_003_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,2,41,O,data\vacancies\MAT_003_vacancy_site2.cif,data\substituted_slabs\MAT_003_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,0,45,O,data\vacancies\MAT_004_vacancy_site0.cif,data\substituted_slabs\MAT_004_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,1,37,O,data\vacancies\MAT_004_vacancy_site1.cif,data\substituted_slabs\MAT_004_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,2,41,O,data\vacancies\MAT_004_vacancy_site2.cif,data\substituted_slabs\MAT_004_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,0,45,O,data\vacancies\MAT_005_vacancy_site0.cif,data\substituted_slabs\MAT_005_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,1,37,O,data\vacancies\MAT_005_vacancy_site1.cif,data\substituted_slabs\MAT_005_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,2,41,O,data\vacancies\MAT_005_vacancy_site2.cif,data\substituted_slabs\MAT_005_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,0,45,O,data\vacancies\MAT_007_vacancy_site0.cif,data\substituted_slabs\MAT_007_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,1,37,O,data\vacancies\MAT_007_vacancy_site1.cif,data\substituted_slabs\MAT_007_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,2,41,O,data\vacancies\MAT_007_vacancy_site2.cif,data\substituted_slabs\MAT_007_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,0,45,O,data\vacancies\MAT_008_vacancy_site0.cif,data\substituted_slabs\MAT_008_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,1,37,O,data\vacancies\MAT_008_vacancy_site1.cif,data\substituted_slabs\MAT_008_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,2,41,O,data\vacancies\MAT_008_vacancy_site2.cif,data\substituted_slabs\MAT_008_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,0,45,O,data\vacancies\MAT_009_vacancy_site0.cif,data\substituted_slabs\MAT_009_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,1,37,O,data\vacancies\MAT_009_vacancy_site1.cif,data\substituted_slabs\MAT_009_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,2,41,O,data\vacancies\MAT_009_vacancy_site2.cif,data\substituted_slabs\MAT_009_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,0,45,O,data\vacancies\MAT_010_vacancy_site0.cif,data\substituted_slabs\MAT_010_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,1,37,O,data\vacancies\MAT_010_vacancy_site1.cif,data\substituted_slabs\MAT_010_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,2,41,O,data\vacancies\MAT_010_vacancy_site2.cif,data\substituted_slabs\MAT_010_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,0,45,O,data\vacancies\MAT_012_vacancy_site0.cif,data\substituted_slabs\MAT_012_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,1,37,O,data\vacancies\MAT_012_vacancy_site1.cif,data\substituted_slabs\MAT_012_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,2,41,O,data\vacancies\MAT_012_vacancy_site2.cif,data\substituted_slabs\MAT_012_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,0,45,O,data\vacancies\MAT_013_vacancy_site0.cif,data\substituted_slabs\MAT_013_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,1,37,O,data\vacancies\MAT_013_vacancy_site1.cif,data\substituted_slabs\MAT_013_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,2,41,O,data\vacancies\MAT_013_vacancy_site2.cif,data\substituted_slabs\MAT_013_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,0,45,O,data\vacancies\MAT_014_vacancy_site0.cif,data\substituted_slabs\MAT_014_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,1,37,O,data\vacancies\MAT_014_vacancy_site1.cif,data\substituted_slabs\MAT_014_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,2,41,O,data\vacancies\MAT_014_vacancy_site2.cif,data\substituted_slabs\MAT_014_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,0,45,O,data\vacancies\MAT_015_vacancy_site0.cif,data\substituted_slabs\MAT_015_110_slab.cif,surface oxygen vacancy generated from highest-z oxygen atoms
